Rainfall - (MM), Year, Statistics, Country, ISO3
217.0, 1937, Oct Average, Indonesia, IDN
242.8, 1937, Nov Average, Indonesia, IDN
298.5, 1937, Dec Average, Indonesia, IDN
281.4, 1938, Jan Average, Indonesia, IDN
231.7, 1938, Feb Average, Indonesia, IDN
320.2, 1938, Mar Average, Indonesia, IDN
260.7, 1938, Apr Average, Indonesia, IDN
274.7, 1938, May Average, Indonesia, IDN
184.5, 1938, Jun Average, Indonesia, IDN
185.3, 1938, Jul Average, Indonesia, IDN
204.6, 1938, Aug Average, Indonesia, IDN
170.4, 1938, Sep Average, Indonesia, IDN
199.8, 1938, Oct Average, Indonesia, IDN
276.4, 1938, Nov Average, Indonesia, IDN
296.6, 1938, Dec Average, Indonesia, IDN
289.2, 1939, Jan Average, Indonesia, IDN
227.3, 1939, Feb Average, Indonesia, IDN
240.0, 1939, Mar Average, Indonesia, IDN
291.3, 1939, Apr Average, Indonesia, IDN
264.9, 1939, May Average, Indonesia, IDN
230.1, 1939, Jun Average, Indonesia, IDN
174.9, 1939, Jul Average, Indonesia, IDN
166.5, 1939, Aug Average, Indonesia, IDN
192.5, 1939, Sep Average, Indonesia, IDN
217.5, 1939, Oct Average, Indonesia, IDN
228.0, 1939, Nov Average, Indonesia, IDN
282.1, 1939, Dec Average, Indonesia, IDN
264.9, 1940, Jan Average, Indonesia, IDN
242.8, 1940, Feb Average, Indonesia, IDN
264.1, 1940, Mar Average, Indonesia, IDN
274.8, 1940, Apr Average, Indonesia, IDN
281.5, 1940, May Average, Indonesia, IDN
184.3, 1940, Jun Average, Indonesia, IDN
125.9, 1940, Jul Average, Indonesia, IDN
159.8, 1940, Aug Average, Indonesia, IDN
148.6, 1940, Sep Average, Indonesia, IDN
172.0, 1940, Oct Average, Indonesia, IDN
218.8, 1940, Nov Average, Indonesia, IDN
283.8, 1940, Dec Average, Indonesia, IDN
280.8, 1941, Jan Average, Indonesia, IDN
250.3, 1941, Feb Average, Indonesia, IDN
289.5, 1941, Mar Average, Indonesia, IDN
280.8, 1941, Apr Average, Indonesia, IDN
271.1, 1941, May Average, Indonesia, IDN
162.3, 1941, Jun Average, Indonesia, IDN
136.7, 1941, Jul Average, Indonesia, IDN
143.2, 1941, Aug Average, Indonesia, IDN
165.0, 1941, Sep Average, Indonesia, IDN
189.4, 1941, Oct Average, Indonesia, IDN
268.4, 1941, Nov Average, Indonesia, IDN
304.4, 1941, Dec Average, Indonesia, IDN
275.9, 1942, Jan Average, Indonesia, IDN
241.0, 1942, Feb Average, Indonesia, IDN
279.5, 1942, Mar Average, Indonesia, IDN
287.9, 1942, Apr Average, Indonesia, IDN
244.2, 1942, May Average, Indonesia, IDN
194.5, 1942, Jun Average, Indonesia, IDN
171.1, 1942, Jul Average, Indonesia, IDN
174.5, 1942, Aug Average, Indonesia, IDN
180.8, 1942, Sep Average, Indonesia, IDN
240.2, 1942, Oct Average, Indonesia, IDN
263.9, 1942, Nov Average, Indonesia, IDN
294.3, 1942, Dec Average, Indonesia, IDN
277.7, 1943, Jan Average, Indonesia, IDN
265.8, 1943, Feb Average, Indonesia, IDN
309.7, 1943, Mar Average, Indonesia, IDN
272.4, 1943, Apr Average, Indonesia, IDN
239.1, 1943, May Average, Indonesia, IDN
187.1, 1943, Jun Average, Indonesia, IDN
173.7, 1943, Jul Average, Indonesia, IDN
176.3, 1943, Aug Average, Indonesia, IDN
177.9, 1943, Sep Average, Indonesia, IDN
229.9, 1943, Oct Average, Indonesia, IDN
266.9, 1943, Nov Average, Indonesia, IDN
275.4, 1943, Dec Average, Indonesia, IDN
