tasmax, Year, Statistics, Country, ISO3
-12.0, 1947, Mar Average, Canada, CAN
-6.4, 1947, Apr Average, Canada, CAN
3.0, 1947, May Average, Canada, CAN
10.7, 1947, Jun Average, Canada, CAN
16.4, 1947, Jul Average, Canada, CAN
13.0, 1947, Aug Average, Canada, CAN
6.9, 1947, Sep Average, Canada, CAN
1.6, 1947, Oct Average, Canada, CAN
-8.9, 1947, Nov Average, Canada, CAN
-15.0, 1947, Dec Average, Canada, CAN
-17.6, 1948, Jan Average, Canada, CAN
-21.4, 1948, Feb Average, Canada, CAN
-16.2, 1948, Mar Average, Canada, CAN
-7.1, 1948, Apr Average, Canada, CAN
5.2, 1948, May Average, Canada, CAN
12.6, 1948, Jun Average, Canada, CAN
16.7, 1948, Jul Average, Canada, CAN
14.5, 1948, Aug Average, Canada, CAN
8.8, 1948, Sep Average, Canada, CAN
1.3, 1948, Oct Average, Canada, CAN
-8.9, 1948, Nov Average, Canada, CAN
-19.4, 1948, Dec Average, Canada, CAN
-20.3, 1949, Jan Average, Canada, CAN
-23.2, 1949, Feb Average, Canada, CAN
-12.2, 1949, Mar Average, Canada, CAN
-3.5, 1949, Apr Average, Canada, CAN
3.8, 1949, May Average, Canada, CAN
11.3, 1949, Jun Average, Canada, CAN
15.7, 1949, Jul Average, Canada, CAN
15.0, 1949, Aug Average, Canada, CAN
8.3, 1949, Sep Average, Canada, CAN
-1.0, 1949, Oct Average, Canada, CAN
-8.3, 1949, Nov Average, Canada, CAN
-18.5, 1949, Dec Average, Canada, CAN
-25.9, 1950, Jan Average, Canada, CAN
-20.7, 1950, Feb Average, Canada, CAN
-13.4, 1950, Mar Average, Canada, CAN
-6.6, 1950, Apr Average, Canada, CAN
4.5, 1950, May Average, Canada, CAN
11.7, 1950, Jun Average, Canada, CAN
15.6, 1950, Jul Average, Canada, CAN
13.2, 1950, Aug Average, Canada, CAN
8.3, 1950, Sep Average, Canada, CAN
-2.2, 1950, Oct Average, Canada, CAN
-12.3, 1950, Nov Average, Canada, CAN
-15.9, 1950, Dec Average, Canada, CAN
-21.6, 1951, Jan Average, Canada, CAN
-19.5, 1951, Feb Average, Canada, CAN
-15.2, 1951, Mar Average, Canada, CAN
