tasmax, Year, Statistics, Country, ISO3
13.5, 1944, Apr Average, Germany, DEU
17.0, 1944, May Average, Germany, DEU
19.1, 1944, Jun Average, Germany, DEU
22.3, 1944, Jul Average, Germany, DEU
25.7, 1944, Aug Average, Germany, DEU
18.1, 1944, Sep Average, Germany, DEU
12.0, 1944, Oct Average, Germany, DEU
6.5, 1944, Nov Average, Germany, DEU
2.3, 1944, Dec Average, Germany, DEU
-1.3, 1945, Jan Average, Germany, DEU
6.2, 1945, Feb Average, Germany, DEU
10.0, 1945, Mar Average, Germany, DEU
14.2, 1945, Apr Average, Germany, DEU
19.3, 1945, May Average, Germany, DEU
22.0, 1945, Jun Average, Germany, DEU
23.4, 1945, Jul Average, Germany, DEU
21.3, 1945, Aug Average, Germany, DEU
18.7, 1945, Sep Average, Germany, DEU
13.4, 1945, Oct Average, Germany, DEU
5.7, 1945, Nov Average, Germany, DEU
3.7, 1945, Dec Average, Germany, DEU
1.4, 1946, Jan Average, Germany, DEU
4.7, 1946, Feb Average, Germany, DEU
7.7, 1946, Mar Average, Germany, DEU
16.1, 1946, Apr Average, Germany, DEU
19.3, 1946, May Average, Germany, DEU
19.4, 1946, Jun Average, Germany, DEU
23.8, 1946, Jul Average, Germany, DEU
21.4, 1946, Aug Average, Germany, DEU
19.5, 1946, Sep Average, Germany, DEU
10.9, 1946, Oct Average, Germany, DEU
6.7, 1946, Nov Average, Germany, DEU
0.4, 1946, Dec Average, Germany, DEU
-1.5, 1947, Jan Average, Germany, DEU
-2.2, 1947, Feb Average, Germany, DEU
6.9, 1947, Mar Average, Germany, DEU
14.8, 1947, Apr Average, Germany, DEU
20.4, 1947, May Average, Germany, DEU
23.5, 1947, Jun Average, Germany, DEU
24.6, 1947, Jul Average, Germany, DEU
24.9, 1947, Aug Average, Germany, DEU
22.7, 1947, Sep Average, Germany, DEU
13.5, 1947, Oct Average, Germany, DEU
7.8, 1947, Nov Average, Germany, DEU
3.4, 1947, Dec Average, Germany, DEU
5.1, 1948, Jan Average, Germany, DEU
3.4, 1948, Feb Average, Germany, DEU
11.0, 1948, Mar Average, Germany, DEU
15.2, 1948, Apr Average, Germany, DEU
19.2, 1948, May Average, Germany, DEU
20.8, 1948, Jun Average, Germany, DEU
20.9, 1948, Jul Average, Germany, DEU
21.5, 1948, Aug Average, Germany, DEU
19.3, 1948, Sep Average, Germany, DEU
13.2, 1948, Oct Average, Germany, DEU
7.5, 1948, Nov Average, Germany, DEU
4.0, 1948, Dec Average, Germany, DEU
3.9, 1949, Jan Average, Germany, DEU
5.6, 1949, Feb Average, Germany, DEU
7.0, 1949, Mar Average, Germany, DEU
15.8, 1949, Apr Average, Germany, DEU
17.2, 1949, May Average, Germany, DEU
19.5, 1949, Jun Average, Germany, DEU
23.5, 1949, Jul Average, Germany, DEU
22.9, 1949, Aug Average, Germany, DEU
22.2, 1949, Sep Average, Germany, DEU
15.6, 1949, Oct Average, Germany, DEU
6.8, 1949, Nov Average, Germany, DEU
5.2, 1949, Dec Average, Germany, DEU
1.5, 1950, Jan Average, Germany, DEU
6.2, 1950, Feb Average, Germany, DEU
9.7, 1950, Mar Average, Germany, DEU
11.6, 1950, Apr Average, Germany, DEU
19.2, 1950, May Average, Germany, DEU
23.5, 1950, Jun Average, Germany, DEU
23.5, 1950, Jul Average, Germany, DEU
23.3, 1950, Aug Average, Germany, DEU
17.3, 1950, Sep Average, Germany, DEU
12.0, 1950, Oct Average, Germany, DEU
6.7, 1950, Nov Average, Germany, DEU
0.5, 1950, Dec Average, Germany, DEU
3.5, 1951, Jan Average, Germany, DEU
4.7, 1951, Feb Average, Germany, DEU
6.2, 1951, Mar Average, Germany, DEU
12.8, 1951, Apr Average, Germany, DEU
16.6, 1951, May Average, Germany, DEU
