Rainfall - (MM), Year, Statistics, Country, ISO3
38.1, 1942, Nov Average, France, FRA
71.0, 1942, Dec Average, France, FRA
84.0, 1943, Jan Average, France, FRA
36.2, 1943, Feb Average, France, FRA
31.4, 1943, Mar Average, France, FRA
35.6, 1943, Apr Average, France, FRA
73.6, 1943, May Average, France, FRA
46.3, 1943, Jun Average, France, FRA
59.5, 1943, Jul Average, France, FRA
61.7, 1943, Aug Average, France, FRA
94.3, 1943, Sep Average, France, FRA
71.5, 1943, Oct Average, France, FRA
86.6, 1943, Nov Average, France, FRA
65.9, 1943, Dec Average, France, FRA
35.4, 1944, Jan Average, France, FRA
57.8, 1944, Feb Average, France, FRA
15.3, 1944, Mar Average, France, FRA
50.4, 1944, Apr Average, France, FRA
33.3, 1944, May Average, France, FRA
59.7, 1944, Jun Average, France, FRA
69.6, 1944, Jul Average, France, FRA
70.7, 1944, Aug Average, France, FRA
89.3, 1944, Sep Average, France, FRA
111.1, 1944, Oct Average, France, FRA
111.0, 1944, Nov Average, France, FRA
85.1, 1944, Dec Average, France, FRA
69.8, 1945, Jan Average, France, FRA
40.3, 1945, Feb Average, France, FRA
30.7, 1945, Mar Average, France, FRA
30.1, 1945, Apr Average, France, FRA
77.4, 1945, May Average, France, FRA
32.9, 1945, Jun Average, France, FRA
34.6, 1945, Jul Average, France, FRA
82.1, 1945, Aug Average, France, FRA
57.1, 1945, Sep Average, France, FRA
51.2, 1945, Oct Average, France, FRA
35.7, 1945, Nov Average, France, FRA
102.3, 1945, Dec Average, France, FRA
48.1, 1946, Jan Average, France, FRA
65.1, 1946, Feb Average, France, FRA
48.3, 1946, Mar Average, France, FRA
59.5, 1946, Apr Average, France, FRA
106.5, 1946, May Average, France, FRA
74.7, 1946, Jun Average, France, FRA
32.6, 1946, Jul Average, France, FRA
80.8, 1946, Aug Average, France, FRA
51.3, 1946, Sep Average, France, FRA
51.6, 1946, Oct Average, France, FRA
62.5, 1946, Nov Average, France, FRA
69.2, 1946, Dec Average, France, FRA
48.1, 1947, Jan Average, France, FRA
78.2, 1947, Feb Average, France, FRA
102.8, 1947, Mar Average, France, FRA
33.7, 1947, Apr Average, France, FRA
57.4, 1947, May Average, France, FRA
52.4, 1947, Jun Average, France, FRA
49.0, 1947, Jul Average, France, FRA
55.5, 1947, Aug Average, France, FRA
51.9, 1947, Sep Average, France, FRA
55.7, 1947, Oct Average, France, FRA
72.9, 1947, Nov Average, France, FRA
87.8, 1947, Dec Average, France, FRA
124.2, 1948, Jan Average, France, FRA
32.7, 1948, Feb Average, France, FRA
29.3, 1948, Mar Average, France, FRA
79.7, 1948, Apr Average, France, FRA
84.8, 1948, May Average, France, FRA
70.4, 1948, Jun Average, France, FRA
55.6, 1948, Jul Average, France, FRA
88.8, 1948, Aug Average, France, FRA
67.6, 1948, Sep Average, France, FRA
50.1, 1948, Oct Average, France, FRA
39.1, 1948, Nov Average, France, FRA
54.6, 1948, Dec Average, France, FRA
36.8, 1949, Jan Average, France, FRA
16.4, 1949, Feb Average, France, FRA
45.7, 1949, Mar Average, France, FRA
38.9, 1949, Apr Average, France, FRA
94.1, 1949, May Average, France, FRA
34.5, 1949, Jun Average, France, FRA
18.9, 1949, Jul Average, France, FRA
43.6, 1949, Aug Average, France, FRA
70.0, 1949, Sep Average, France, FRA
63.9, 1949, Oct Average, France, FRA
111.2, 1949, Nov Average, France, FRA
64.5, 1949, Dec Average, France, FRA
35.1, 1950, Jan Average, France, FRA
91.7, 1950, Feb Average, France, FRA
32.8, 1950, Mar Average, France, FRA
70.2, 1950, Apr Average, France, FRA
67.4, 1950, May Average, France, FRA
45.9, 1950, Jun Average, France, FRA
46.4, 1950, Jul Average, France, FRA
84.4, 1950, Aug Average, France, FRA
70.5, 1950, Sep Average, France, FRA
39.7, 1950, Oct Average, France, FRA
