tasmin, Year, Statistics, Country, ISO3
-3.2, 1948, Mar Average, Turkey, TUR
3.0, 1948, Apr Average, Turkey, TUR
8.5, 1948, May Average, Turkey, TUR
11.8, 1948, Jun Average, Turkey, TUR
14.2, 1948, Jul Average, Turkey, TUR
14.8, 1948, Aug Average, Turkey, TUR
10.5, 1948, Sep Average, Turkey, TUR
5.3, 1948, Oct Average, Turkey, TUR
-1.4, 1948, Nov Average, Turkey, TUR
-5.7, 1948, Dec Average, Turkey, TUR
-6.7, 1949, Jan Average, Turkey, TUR
-6.8, 1949, Feb Average, Turkey, TUR
-2.0, 1949, Mar Average, Turkey, TUR
1.9, 1949, Apr Average, Turkey, TUR
8.7, 1949, May Average, Turkey, TUR
11.7, 1949, Jun Average, Turkey, TUR
14.3, 1949, Jul Average, Turkey, TUR
13.4, 1949, Aug Average, Turkey, TUR
9.7, 1949, Sep Average, Turkey, TUR
5.4, 1949, Oct Average, Turkey, TUR
2.9, 1949, Nov Average, Turkey, TUR
-1.4, 1949, Dec Average, Turkey, TUR
-9.4, 1950, Jan Average, Turkey, TUR
-6.6, 1950, Feb Average, Turkey, TUR
-0.5, 1950, Mar Average, Turkey, TUR
6.3, 1950, Apr Average, Turkey, TUR
9.1, 1950, May Average, Turkey, TUR
11.1, 1950, Jun Average, Turkey, TUR
14.3, 1950, Jul Average, Turkey, TUR
13.5, 1950, Aug Average, Turkey, TUR
11.8, 1950, Sep Average, Turkey, TUR
5.6, 1950, Oct Average, Turkey, TUR
1.9, 1950, Nov Average, Turkey, TUR
-0.8, 1950, Dec Average, Turkey, TUR
