Temperature - (Celsius), Year, Statistics, Country, ISO3
16.4, 1937, Jan Average, India, IND
19.5, 1937, Feb Average, India, IND
22.8, 1937, Mar Average, India, IND
26.7, 1937, Apr Average, India, IND
29.8, 1937, May Average, India, IND
29.7, 1937, Jun Average, India, IND
26.8, 1937, Jul Average, India, IND
26.6, 1937, Aug Average, India, IND
26.3, 1937, Sep Average, India, IND
24.0, 1937, Oct Average, India, IND
20.6, 1937, Nov Average, India, IND
16.8, 1937, Dec Average, India, IND
17.6, 1938, Jan Average, India, IND
18.2, 1938, Feb Average, India, IND
24.6, 1938, Mar Average, India, IND
28.3, 1938, Apr Average, India, IND
30.5, 1938, May Average, India, IND
27.6, 1938, Jun Average, India, IND
26.8, 1938, Jul Average, India, IND
26.6, 1938, Aug Average, India, IND
26.5, 1938, Sep Average, India, IND
24.6, 1938, Oct Average, India, IND
19.6, 1938, Nov Average, India, IND
17.3, 1938, Dec Average, India, IND
17.7, 1939, Jan Average, India, IND
19.5, 1939, Feb Average, India, IND
22.3, 1939, Mar Average, India, IND
27.0, 1939, Apr Average, India, IND
30.5, 1939, May Average, India, IND
29.0, 1939, Jun Average, India, IND
26.8, 1939, Jul Average, India, IND
26.8, 1939, Aug Average, India, IND
26.2, 1939, Sep Average, India, IND
25.0, 1939, Oct Average, India, IND
20.3, 1939, Nov Average, India, IND
17.6, 1939, Dec Average, India, IND
16.9, 1940, Jan Average, India, IND
19.3, 1940, Feb Average, India, IND
22.4, 1940, Mar Average, India, IND
27.1, 1940, Apr Average, India, IND
30.1, 1940, May Average, India, IND
29.4, 1940, Jun Average, India, IND
27.0, 1940, Jul Average, India, IND
26.2, 1940, Aug Average, India, IND
26.2, 1940, Sep Average, India, IND
24.8, 1940, Oct Average, India, IND
21.4, 1940, Nov Average, India, IND
17.7, 1940, Dec Average, India, IND
17.2, 1941, Jan Average, India, IND
19.9, 1941, Feb Average, India, IND
25.0, 1941, Mar Average, India, IND
29.1, 1941, Apr Average, India, IND
30.7, 1941, May Average, India, IND
29.2, 1941, Jun Average, India, IND
27.6, 1941, Jul Average, India, IND
27.0, 1941, Aug Average, India, IND
26.5, 1941, Sep Average, India, IND
25.7, 1941, Oct Average, India, IND
20.9, 1941, Nov Average, India, IND
18.7, 1941, Dec Average, India, IND
16.9, 1942, Jan Average, India, IND
19.6, 1942, Feb Average, India, IND
24.4, 1942, Mar Average, India, IND
28.4, 1942, Apr Average, India, IND
30.6, 1942, May Average, India, IND
30.1, 1942, Jun Average, India, IND
26.7, 1942, Jul Average, India, IND
26.2, 1942, Aug Average, India, IND
25.8, 1942, Sep Average, India, IND
24.6, 1942, Oct Average, India, IND
21.0, 1942, Nov Average, India, IND
17.3, 1942, Dec Average, India, IND
17.7, 1943, Jan Average, India, IND
18.7, 1943, Feb Average, India, IND
24.0, 1943, Mar Average, India, IND
26.8, 1943, Apr Average, India, IND
29.9, 1943, May Average, India, IND
28.7, 1943, Jun Average, India, IND
26.7, 1943, Jul Average, India, IND
26.0, 1943, Aug Average, India, IND
26.2, 1943, Sep Average, India, IND
24.3, 1943, Oct Average, India, IND
21.3, 1943, Nov Average, India, IND
17.8, 1943, Dec Average, India, IND
17.0, 1944, Jan Average, India, IND
18.7, 1944, Feb Average, India, IND
22.8, 1944, Mar Average, India, IND
26.7, 1944, Apr Average, India, IND
30.8, 1944, May Average, India, IND
29.5, 1944, Jun Average, India, IND
26.8, 1944, Jul Average, India, IND
26.4, 1944, Aug Average, India, IND
26.1, 1944, Sep Average, India, IND
24.3, 1944, Oct Average, India, IND
20.8, 1944, Nov Average, India, IND
