Temperature - (Celsius), Year, Statistics, Country, ISO3
14.3, 1946, Jul Average, Australia, AUS
15.6, 1946, Aug Average, Australia, AUS
18.6, 1946, Sep Average, Australia, AUS
21.6, 1946, Oct Average, Australia, AUS
25.1, 1946, Nov Average, Australia, AUS
27.0, 1946, Dec Average, Australia, AUS
28.7, 1947, Jan Average, Australia, AUS
27.3, 1947, Feb Average, Australia, AUS
25.1, 1947, Mar Average, Australia, AUS
20.8, 1947, Apr Average, Australia, AUS
18.0, 1947, May Average, Australia, AUS
15.4, 1947, Jun Average, Australia, AUS
14.2, 1947, Jul Average, Australia, AUS
15.5, 1947, Aug Average, Australia, AUS
18.2, 1947, Sep Average, Australia, AUS
21.3, 1947, Oct Average, Australia, AUS
24.1, 1947, Nov Average, Australia, AUS
26.1, 1947, Dec Average, Australia, AUS
26.9, 1948, Jan Average, Australia, AUS
27.5, 1948, Feb Average, Australia, AUS
24.6, 1948, Mar Average, Australia, AUS
20.9, 1948, Apr Average, Australia, AUS
17.0, 1948, May Average, Australia, AUS
14.2, 1948, Jun Average, Australia, AUS
13.7, 1948, Jul Average, Australia, AUS
15.9, 1948, Aug Average, Australia, AUS
18.6, 1948, Sep Average, Australia, AUS
22.3, 1948, Oct Average, Australia, AUS
24.8, 1948, Nov Average, Australia, AUS
26.6, 1948, Dec Average, Australia, AUS
26.9, 1949, Jan Average, Australia, AUS
25.6, 1949, Feb Average, Australia, AUS
24.5, 1949, Mar Average, Australia, AUS
20.4, 1949, Apr Average, Australia, AUS
16.7, 1949, May Average, Australia, AUS
13.1, 1949, Jun Average, Australia, AUS
13.9, 1949, Jul Average, Australia, AUS
15.8, 1949, Aug Average, Australia, AUS
18.2, 1949, Sep Average, Australia, AUS
22.0, 1949, Oct Average, Australia, AUS
24.1, 1949, Nov Average, Australia, AUS
27.0, 1949, Dec Average, Australia, AUS
27.3, 1950, Jan Average, Australia, AUS
26.3, 1950, Feb Average, Australia, AUS
24.7, 1950, Mar Average, Australia, AUS
21.2, 1950, Apr Average, Australia, AUS
18.3, 1950, May Average, Australia, AUS
13.9, 1950, Jun Average, Australia, AUS
13.8, 1950, Jul Average, Australia, AUS
15.2, 1950, Aug Average, Australia, AUS
19.0, 1950, Sep Average, Australia, AUS
21.2, 1950, Oct Average, Australia, AUS
24.3, 1950, Nov Average, Australia, AUS
26.4, 1950, Dec Average, Australia, AUS
27.1, 1951, Jan Average, Australia, AUS
26.9, 1951, Feb Average, Australia, AUS
26.1, 1951, Mar Average, Australia, AUS
20.7, 1951, Apr Average, Australia, AUS
16.7, 1951, May Average, Australia, AUS
15.0, 1951, Jun Average, Australia, AUS
13.4, 1951, Jul Average, Australia, AUS
14.2, 1951, Aug Average, Australia, AUS
19.1, 1951, Sep Average, Australia, AUS
22.0, 1951, Oct Average, Australia, AUS
25.4, 1951, Nov Average, Australia, AUS
26.8, 1951, Dec Average, Australia, AUS
28.1, 1952, Jan Average, Australia, AUS
26.9, 1952, Feb Average, Australia, AUS
25.3, 1952, Mar Average, Australia, AUS
21.1, 1952, Apr Average, Australia, AUS
17.4, 1952, May Average, Australia, AUS
14.5, 1952, Jun Average, Australia, AUS
13.4, 1952, Jul Average, Australia, AUS
15.1, 1952, Aug Average, Australia, AUS
18.8, 1952, Sep Average, Australia, AUS
21.6, 1952, Oct Average, Australia, AUS
24.1, 1952, Nov Average, Australia, AUS
26.5, 1952, Dec Average, Australia, AUS
26.8, 1953, Jan Average, Australia, AUS
25.7, 1953, Feb Average, Australia, AUS
26.1, 1953, Mar Average, Australia, AUS
22.7, 1953, Apr Average, Australia, AUS
17.0, 1953, May Average, Australia, AUS
14.7, 1953, Jun Average, Australia, AUS
13.7, 1953, Jul Average, Australia, AUS
14.3, 1953, Aug Average, Australia, AUS
18.2, 1953, Sep Average, Australia, AUS
22.1, 1953, Oct Average, Australia, AUS
24.5, 1953, Nov Average, Australia, AUS
